CMDLINE c:\users\miner\appdata\local\programs\python\python37\python.exe smb1Py_runner.py
MEM 1.566406 1607983487.6356
MEM 12.925781 1607983487.7393
MEM 19.636719 1607983487.8470
MEM 26.453125 1607983487.9548
MEM 34.757812 1607983488.0615
MEM 41.492188 1607983488.1692
MEM 47.808594 1607983488.2759
MEM 51.175781 1607983488.3836
MEM 54.992188 1607983488.4933
MEM 58.281250 1607983488.6000
MEM 61.757812 1607983488.7068
MEM 66.964844 1607983488.8145
MEM 72.117188 1607983488.9242
MEM 74.835938 1607983489.0349
MEM 135.792969 1607983489.1461
MEM 93.625000 1607983489.2543
MEM 94.195312 1607983489.3650
MEM 95.699219 1607983489.4747
MEM 95.957031 1607983489.5834
MEM 96.281250 1607983489.6912
MEM 97.421875 1607983489.7999
MEM 97.796875 1607983489.9056
MEM 98.140625 1607983490.0143
MEM 98.394531 1607983490.1240
MEM 98.964844 1607983490.2343
MEM 101.937500 1607983490.3460
MEM 100.125000 1607983490.4527
MEM 100.429688 1607983490.5624
MEM 100.683594 1607983490.6727
MEM 100.953125 1607983490.7835
MEM 101.253906 1607983490.8937
MEM 101.824219 1607983491.0030
MEM 102.140625 1607983491.1117
MEM 102.460938 1607983491.2204
MEM 102.777344 1607983491.3311
MEM 108.515625 1607983491.4369
MEM 108.812500 1607983491.5465
MEM 109.128906 1607983491.6562
MEM 109.472656 1607983491.7660
MEM 109.968750 1607983491.8752
MEM 110.285156 1607983491.9839
MEM 110.566406 1607983492.0957
MEM 111.171875 1607983492.2024
MEM 111.425781 1607983492.3101
MEM 111.753906 1607983492.4209
MEM 112.019531 1607983492.5311
MEM 112.570312 1607983492.6389
MEM 112.867188 1607983492.7466
MEM 113.210938 1607983492.8533
MEM 113.535156 1607983492.9610
MEM 114.042969 1607983493.0718
MEM 114.359375 1607983493.1814
MEM 114.613281 1607983493.2902
MEM 114.902344 1607983493.3999
MEM 125.632812 1607983493.5086
MEM 125.898438 1607983493.6183
MEM 126.214844 1607983493.7290
MEM 126.531250 1607983493.8368
MEM 127.039062 1607983493.9474
MEM 127.351562 1607983494.0557
MEM 127.687500 1607983494.1669
MEM 128.199219 1607983494.2761
MEM 128.515625 1607983494.3858
MEM 128.832031 1607983494.4955
MEM 129.085938 1607983494.6052
MEM 129.636719 1607983494.7160
MEM 129.972656 1607983494.8227
MEM 130.289062 1607983494.9334
MEM 130.542969 1607983495.0421
MEM 131.113281 1607983495.1528
MEM 131.375000 1607983495.2635
MEM 131.675781 1607983495.3742
MEM 132.253906 1607983495.4839
MEM 132.570312 1607983495.5947
MEM 132.824219 1607983495.7028
MEM 133.140625 1607983495.8118
MEM 133.664062 1607983495.9210
MEM 134.027344 1607983496.0312
MEM 134.281250 1607983496.1409
MEM 134.597656 1607983496.2506
MEM 135.105469 1607983496.3573
MEM 135.421875 1607983496.4661
MEM 135.691406 1607983496.5748
MEM 135.988281 1607983496.6835
MEM 136.562500 1607983496.7932
MEM 136.878906 1607983496.9049
MEM 137.132812 1607983497.0147
MEM 137.449219 1607983497.1244
MEM 137.996094 1607983497.2351
MEM 138.335938 1607983497.3464
MEM 138.589844 1607983497.4542
MEM 138.906250 1607983497.5642
MEM 159.988281 1607983497.6729
MEM 160.042969 1607983497.7826
MEM 160.058594 1607983497.8913
MEM 160.097656 1607983498.0000
MEM 160.410156 1607983498.1078
MEM 160.726562 1607983498.2185
MEM 161.042969 1607983498.3292
MEM 161.550781 1607983498.4359
MEM 161.835938 1607983498.5436
MEM 162.183594 1607983498.6493
MEM 162.437500 1607983498.7571
MEM 163.007812 1607983498.8663
MEM 163.324219 1607983498.9760
MEM 163.578125 1607983499.0857
MEM 164.128906 1607983499.1964
MEM 164.464844 1607983499.3061
MEM 164.781250 1607983499.4158
MEM 165.035156 1607983499.5245
MEM 165.605469 1607983499.6352
MEM 165.871094 1607983499.7469
MEM 166.167969 1607983499.8552
MEM 166.746094 1607983499.9659
MEM 167.062500 1607983500.0736
MEM 167.316406 1607983500.1854
MEM 167.632812 1607983500.2936
MEM 168.160156 1607983500.4018
MEM 168.453125 1607983500.5120
MEM 168.773438 1607983500.6189
MEM 169.089844 1607983500.7251
MEM 169.343750 1607983500.8318
MEM 169.914062 1607983500.9395
MEM 170.171875 1607983501.0512
MEM 170.468750 1607983501.1580
MEM 170.800781 1607983501.2687
MEM 171.371094 1607983501.3794
MEM 171.625000 1607983501.4891
MEM 171.941406 1607983501.5974
MEM 172.199219 1607983501.7071
MEM 172.753906 1607983501.8148
MEM 173.082031 1607983501.9245
MEM 173.398438 1607983502.0313
MEM 173.906250 1607983502.1415
MEM 174.230469 1607983502.2517
MEM 174.500000 1607983502.3620
MEM 174.796875 1607983502.4717
MEM 175.371094 1607983502.5804
MEM 175.687500 1607983502.6891
MEM 176.003906 1607983502.7979
MEM 176.511719 1607983502.9046
MEM 176.789062 1607983503.0142
MEM 177.082031 1607983503.1220
MEM 177.398438 1607983503.2287
MEM 177.968750 1607983503.3362
MEM 178.285156 1607983503.4469
MEM 178.539062 1607983503.5557
MEM 178.824219 1607983503.6657
MEM 179.425781 1607983503.7740
MEM 179.679688 1607983503.8842
MEM 179.996094 1607983503.9929
MEM 180.566406 1607983504.1046
MEM 180.820312 1607983504.2123
MEM 181.117188 1607983504.3220
MEM 181.453125 1607983504.4307
MEM 182.023438 1607983504.5385
MEM 182.023438 1607983504.6492
MEM 182.531250 1607983504.7579
MEM 182.785156 1607983504.8686
MEM 183.066406 1607983504.9803
MEM 183.613281 1607983505.0861
MEM 183.917969 1607983505.1963
MEM 184.246094 1607983505.3051
MEM 184.562500 1607983505.4154
MEM 185.070312 1607983505.5241
MEM 185.386719 1607983505.6338
MEM 185.652344 1607983505.7435
MEM 195.980469 1607983505.8513
MEM 234.097656 1607983505.9609
MEM 234.089844 1607983506.0686
MEM 234.406250 1607983506.1783
MEM 234.722656 1607983506.2891
MEM 234.976562 1607983506.3990
MEM 235.566406 1607983506.5074
MEM 235.898438 1607983506.6171
MEM 236.214844 1607983506.7278
MEM 236.207031 1607983506.8385
MEM 236.476562 1607983506.9487
MEM 236.765625 1607983507.0590
MEM 237.382812 1607983507.1672
MEM 237.636719 1607983507.2750
MEM 237.953125 1607983507.3847
MEM 238.527344 1607983507.4954
MEM 238.785156 1607983507.6051
MEM 239.066406 1607983507.7138
MEM 239.417969 1607983507.8235
MEM 239.925781 1607983507.9342
MEM 240.218750 1607983508.0429
MEM 240.558594 1607983508.1497
MEM 241.101562 1607983508.2593
MEM 241.402344 1607983508.3671
MEM 241.734375 1607983508.4742
MEM 242.304688 1607983508.5839
MEM 242.558594 1607983508.6946
MEM 242.875000 1607983508.8033
MEM 243.136719 1607983508.9100
MEM 243.683594 1607983509.0198
MEM 244.015625 1607983509.1305
MEM 244.335938 1607983509.2392
MEM 244.589844 1607983509.3494
MEM 245.160156 1607983509.4592
MEM 245.429688 1607983509.5669
MEM 245.722656 1607983509.6776
MEM 246.300781 1607983509.7863
MEM 246.617188 1607983509.8966
MEM 246.933594 1607983510.0048
MEM 247.187500 1607983510.1151
MEM 247.714844 1607983510.2228
MEM 248.011719 1607983510.3315
MEM 248.328125 1607983510.4382
MEM 248.898438 1607983510.5489
MEM 249.218750 1607983510.6596
MEM 249.472656 1607983510.7673
MEM 249.757812 1607983510.8760
MEM 250.359375 1607983510.9828
MEM 250.613281 1607983511.0894
MEM 250.929688 1607983511.1971
MEM 251.500000 1607983511.3038
MEM 251.753906 1607983511.4126
MEM 252.054688 1607983511.5219
MEM 252.640625 1607983511.6321
MEM 252.957031 1607983511.7428
MEM 253.210938 1607983511.8545
MEM 253.527344 1607983511.9652
MEM 254.046875 1607983512.0729
MEM 254.347656 1607983512.1836
MEM 254.671875 1607983512.2923
MEM 255.242188 1607983512.4021
MEM 255.496094 1607983512.5103
MEM 255.812500 1607983512.6200
MEM 256.089844 1607983512.7297
MEM 256.636719 1607983512.8385
MEM 256.953125 1607983512.9487
MEM 257.230469 1607983513.0580
MEM 257.839844 1607983513.1672
MEM 258.093750 1607983513.2750
MEM 258.378906 1607983513.3827
MEM 258.726562 1607983513.4924
MEM 259.234375 1607983513.6031
MEM 259.550781 1607983513.7108
MEM 259.867188 1607983513.8185
MEM 260.375000 1607983513.9292
MEM 260.667969 1607983514.0389
MEM 261.007812 1607983514.1492
MEM 261.265625 1607983514.2579
