CMDLINE c:\users\miner\appdata\local\programs\python\python37\python.exe smb1Py_runner.py
MEM 1.566406 1607983414.9046
MEM 14.597656 1607983415.0089
MEM 22.722656 1607983415.1180
MEM 31.933594 1607983415.2277
MEM 41.078125 1607983415.3364
MEM 46.617188 1607983415.4472
MEM 50.746094 1607983415.5579
MEM 54.875000 1607983415.6666
MEM 59.449219 1607983415.7723
MEM 63.777344 1607983415.8820
MEM 69.050781 1607983415.9903
MEM 74.066406 1607983416.1000
MEM 127.550781 1607983416.2112
MEM 91.429688 1607983416.3204
MEM 92.554688 1607983416.4306
MEM 97.406250 1607983416.5383
MEM 92.023438 1607983416.6470
MEM 92.023438 1607983416.7548
MEM 92.023438 1607983416.8645
MEM 92.023438 1607983416.9722
MEM 92.023438 1607983417.0818
MEM 92.023438 1607983417.1926
MEM 92.023438 1607983417.2998
MEM 92.023438 1607983417.4085
MEM 92.535156 1607983417.5168
MEM 93.347656 1607983417.6269
MEM 93.472656 1607983417.7357
MEM 94.296875 1607983417.8464
MEM 93.011719 1607983417.9541
MEM 94.628906 1607983418.0629
MEM 104.527344 1607983418.1708
MEM 93.730469 1607983418.2809
MEM 93.730469 1607983418.3906
MEM 93.730469 1607983418.5014
MEM 93.730469 1607983418.6121
MEM 93.730469 1607983418.7218
MEM 93.730469 1607983418.8285
MEM 93.730469 1607983418.9352
MEM 93.730469 1607983419.0429
MEM 94.125000 1607983419.1496
MEM 94.746094 1607983419.2579
MEM 94.988281 1607983419.3657
MEM 95.000000 1607983419.4763
MEM 94.089844 1607983419.5870
MEM 96.132812 1607983419.6974
MEM 95.769531 1607983419.8073
MEM 106.730469 1607983419.9175
MEM 96.859375 1607983420.0277
MEM 96.859375 1607983420.1384
MEM 96.859375 1607983420.2491
